"id","grand_total","time","tender","discount","change","is_cancelled","responsible_id"
15,304.0,"2020-06-11 06:20:33.338484",400.0,20.0,96.0,0,1
16,304.0,"2020-06-11 06:39:37.048125",400.0,20.0,96.0,0,1
17,98.0,"2020-06-11 06:59:33.426475",98.0,0.0,0.0,0,1
23,196.0,"2020-06-11 07:09:41.301072",196.0,0.0,0.0,0,1
24,0.0,"2020-06-11 07:49:40.001933",0.0,0.0,0.0,0,1
25,98.0,"2020-06-11 08:35:48.367291",98.0,0.0,0.0,0,1
26,98.0,"2020-06-11 08:37:41.550104",98.0,0.0,0.0,0,1
27,98.0,"2020-06-11 08:38:32.622946",98.0,0.0,0.0,0,1
28,98.0,"2020-06-11 10:22:21.157942",98.0,0.0,0.0,0,1
30,-98.0,"2020-06-11 10:41:05.507919",0.0,0.0,98.0,0,1
31,-98.0,"2020-06-11 10:41:31.138319",0.0,0.0,98.0,0,1
59,98.0,"2020-06-12 06:06:56.463026",98.0,0.0,0.0,1,1
60,98.0,"2020-06-12 06:15:38.809213",98.0,0.0,0.0,0,1
61,490.0,"2020-06-12 06:19:30.536239",490.0,0.0,0.0,0,1
62,6958.0,"2020-06-12 06:20:48.114654",6958.0,0.0,0.0,0,1
63,98.0,"2020-06-12 06:48:29.291047",98.0,0.0,0.0,0,1
64,980.0,"2020-06-13 05:38:59.819749",980.0,0.0,0.0,0,1
65,980.0,"2020-06-13 05:39:04.424319",980.0,0.0,0.0,0,1
66,98.0,"2020-06-13 05:44:11.017971",98.0,0.0,0.0,1,1
67,98.0,"2020-06-13 06:20:07.078458",98.0,0.0,0.0,0,1
68,88.0,"2020-06-13 06:20:49.473282",88.0,10.0,0.0,1,1
69,98.0,"2020-06-13 07:02:12.747863",98.0,0.0,0.0,0,1
70,98.0,"2020-06-13 07:06:17.891163",98.0,0.0,0.0,0,1
71,98.0,"2020-06-20 09:02:21.181570",98.0,0.0,0.0,1,1
